customer_id,customer_segment,region,registration_date,age_group
1,Standard,West,2022-01-01 00:00:00.000000000,36-45
2,Basic,East,2022-01-01 13:08:47.663831915,46-55
3,Basic,West,2022-01-02 02:17:35.327663831,36-45
4,Standard,South,2022-01-02 15:26:22.991495747,55+
5,Premium,South,2022-01-03 04:35:10.655327663,36-45
6,Premium,North,2022-01-03 17:43:58.319159579,55+
7,Premium,Central,2022-01-04 06:52:45.982991495,55+
8,Basic,West,2022-01-04 20:01:33.646823411,46-55
9,Standard,North,2022-01-05 09:10:21.310655327,26-35
10,Basic,Central,2022-01-05 22:19:08.974487243,18-25
11,Premium,West,2022-01-06 11:27:56.638319159,55+
12,Basic,East,2022-01-07 00:36:44.302151075,26-35
13,Basic,West,2022-01-07 13:45:31.965982991,55+
14,Standard,South,2022-01-08 02:54:19.629814907,36-45
15,Premium,South,2022-01-08 16:03:07.293646823,36-45
16,Premium,East,2022-01-09 05:11:54.957478739,55+
17,Standard,North,2022-01-09 18:20:42.621310655,36-45
18,Standard,Central,2022-01-10 07:29:30.285142571,36-45
19,Standard,West,2022-01-10 20:38:17.948974487,36-45
20,Standard,South,2022-01-11 09:47:05.612806403,26-35
21,Standard,North,2022-01-11 22:55:53.276638319,46-55
22,Premium,East,2022-01-12 12:04:40.940470235,26-35
23,Standard,South,2022-01-13 01:13:28.604302151,55+
24,Standard,East,2022-01-13 14:22:16.268134067,55+
25,Standard,West,2022-01-14 03:31:03.931965983,26-35
26,Basic,Central,2022-01-14 16:39:51.595797899,46-55
27,Premium,South,2022-01-15 05:48:39.259629815,36-45
28,Standard,South,2022-01-15 18:57:26.923461731,26-35
29,Standard,West,2022-01-16 08:06:14.587293647,55+
30,Premium,North,2022-01-16 21:15:02.251125562,18-25
31,Standard,Central,2022-01-17 10:23:49.914957478,26-35
32,Premium,South,2022-01-17 23:32:37.578789394,36-45
33,Premium,Central,2022-01-18 12:41:25.242621310,36-45
34,Basic,South,2022-01-19 01:50:12.906453226,36-45
35,Basic,Central,2022-01-19 14:59:00.570285142,46-55
36,Basic,East,2022-01-20 04:07:48.234117058,36-45
37,Standard,South,2022-01-20 17:16:35.897948974,36-45
38,Premium,Central,2022-01-21 06:25:23.561780890,18-25
39,Standard,North,2022-01-21 19:34:11.225612806,26-35
40,Standard,East,2022-01-22 08:42:58.889444722,26-35
41,Premium,East,2022-01-22 21:51:46.553276638,26-35
42,Standard,North,2022-01-23 11:00:34.217108554,36-45
43,Premium,Central,2022-01-24 00:09:21.880940470,26-35
44,Basic,West,2022-01-24 13:18:09.544772386,26-35
45,Standard,North,2022-01-25 02:26:57.208604302,26-35
46,Standard,Central,2022-01-25 15:35:44.872436218,55+
47,Standard,North,2022-01-26 04:44:32.536268134,55+
48,Standard,North,2022-01-26 17:53:20.200100050,36-45
49,Standard,South,2022-01-27 07:02:07.863931966,55+
50,Premium,Central,2022-01-27 20:10:55.527763882,46-55
51,Basic,West,2022-01-28 09:19:43.191595798,36-45
52,Basic,South,2022-01-28 22:28:30.855427714,18-25
53,Basic,North,2022-01-29 11:37:18.519259630,46-55
54,Basic,North,2022-01-30 00:46:06.183091546,46-55
55,Standard,North,2022-01-30 13:54:53.846923462,36-45
56,Basic,Central,2022-01-31 03:03:41.510755378,46-55
57,Premium,Central,2022-01-31 16:12:29.174587294,36-45
58,Premium,South,2022-02-01 05:21:16.838419210,46-55
