transaction_id,customer_id,product_id,quantity,unit_price,total_amount,transaction_date,channel
1,227,15,1,71.0,71.0,2025-06-28 07:12:31.316243,Store
2,1074,154,1,41.04,41.04,2025-06-13 09:00:52.843521,Online
3,1399,166,2,313.19,626.37,2025-05-24 21:19:56.296476,Online
4,717,123,2,397.95,795.9,2025-07-08 16:19:14.124092,Store
5,188,142,1,197.62,197.62,2025-06-13 00:21:29.396158,Store
6,1160,67,1,56.26,56.26,2025-07-10 11:57:01.028407,Online
7,62,21,2,345.97,691.94,2025-01-30 12:46:36.758196,Online
8,977,116,1,24.11,24.11,2025-07-03 20:34:53.205769,Online
9,511,78,1,137.72,137.72,2025-07-05 13:48:27.313643,Online
10,1296,146,1,43.96,43.96,2025-06-12 22:55:01.416711,Online
11,1676,6,2,189.29,378.58,2025-06-17 17:00:39.959787,Online
12,392,2,2,52.52,105.05,2025-06-21 04:24:52.269852,Online
13,217,142,1,197.62,197.62,2025-05-24 18:09:32.386707,Store
14,597,6,1,189.29,189.29,2025-07-09 12:50:00.279354,Online
15,395,168,4,116.69,466.74,2025-06-07 02:59:19.876187,Online
16,487,44,1,98.62,98.62,2025-04-10 08:55:57.067948,Online
17,4,162,2,453.18,906.36,2025-07-03 07:19:59.115182,Store
18,1850,123,1,442.17,442.17,2025-06-27 00:13:08.270105,Online
19,983,53,1,515.19,515.19,2025-06-29 11:46:50.433683,Store
20,1605,30,2,274.7,549.4,2025-06-17 10:10:01.717383,Online
21,1562,7,2,122.4,244.81,2025-07-06 02:40:20.798226,Online
22,209,53,1,515.19,515.19,2025-03-06 12:38:46.273604,Store
23,776,7,1,134.64,134.64,2025-07-12 07:52:27.167406,Online
24,763,148,1,302.84,302.84,2025-06-29 07:57:03.576877,Online
25,777,151,4,275.21,1100.83,2025-07-09 10:58:49.295835,Online
26,1483,48,1,343.47,343.47,2025-07-06 21:15:53.039855,Online
27,21,78,1,137.72,137.72,2025-06-23 17:58:45.270842,Online
28,670,104,1,26.86,26.86,2025-06-27 16:27:06.492642,Online
29,1832,123,3,442.17,1326.5,2025-07-05 04:00:53.302492,Online
30,1704,3,1,126.06,126.06,2025-06-23 20:21:09.869088,Store
31,99,6,1,208.22,208.22,2025-07-01 14:45:53.257067,Online
32,695,111,1,396.36,396.36,2025-06-18 12:44:45.407382,Online
33,1301,101,2,79.89,159.78,2025-06-14 10:40:10.131297,Store
34,1077,147,2,293.33,586.65,2025-07-10 12:18:21.938815,Online
35,882,32,3,48.37,145.1,2025-06-25 11:19:38.269223,Store
36,897,120,2,179.18,358.36,2025-04-03 08:35:05.911230,Store
37,1986,25,1,159.24,159.24,2025-06-09 00:00:06.081501,Store
38,737,22,3,120.88,362.63,2025-06-24 21:50:24.808803,Online
39,1556,38,2,127.27,254.55,2025-06-21 10:00:29.315545,Online
40,719,79,3,60.87,182.62,2025-06-28 23:24:43.978930,Online
41,1339,9,1,40.48,40.48,2025-07-05 23:02:00.050890,Online
42,627,197,1,482.6,482.6,2025-06-13 13:39:21.508898,Online
43,1087,57,1,32.64,32.64,2025-06-24 22:15:09.747473,Online
44,629,139,1,484.23,484.23,2025-07-10 19:44:35.494426,Online
45,1434,118,1,145.8,145.8,2025-06-26 00:38:56.651617,Online
46,250,129,1,17.42,17.42,2025-06-23 22:07:36.574568,Online
47,494,77,2,120.82,241.65,2025-06-12 04:13:43.378400,Store
48,1651,135,1,118.6,118.6,2025-03-17 01:52:39.970202,Online
49,1419,103,2,156.94,313.88,2025-07-11 07:11:25.168540,Online
50,1838,90,2,366.46,732.93,2025-06-24 01:27:59.897887,Store
51,1346,36,3,470.84,1412.53,2025-05-02 12:10:24.193644,Online
52,1260,114,2,85.66,171.33,2025-06-29 05:01:42.183111,Online
53,997,20,4,214.95,859.82,2025-06-13 18:38:15.812246,Online
54,1213,14,1,286.17,286.17,2025-07-11 05:46:33.163039,Store
55,1655,122,3,346.25,1038.74,2025-06-14 22:02:18.536355,Online
56,53,99,3,341.01,1023.02,2025-06-02 20:17:47.967589,Online
57,1985,167,1,55.03,55.03,2025-06-17 11:28:29.337666,Online
58,825,91,2,395.39,790.78,2025-07-07 21:42:49.361646,Online
59,1119,155,1,456.75,456.75,2025-06-25 00:29:09.130808,Store
60,1369,123,3,486.38,1459.15,2025-06-16 04:51:08.786630,Store
61,1319,120,1,197.1,197.1,2025-07-01 02:45:43.579320,Online
62,1882,90,1,329.82,329.82,2025-07-05 13:21:15.143505,Online
63,250,167,1,45.02,45.02,2025-06-27 20:04:05.329570,Store
64,1524,6,5,208.22,1041.1,2025-06-23 16:00:20.508981,Online
65,527,182,1,34.89,34.89,2025-06-03 03:39:49.664045,Online
66,1570,126,2,361.51,723.03,2025-06-04 02:27:34.812320,Store
67,1761,76,1,393.05,393.05,2025-06-13 14:06:04.905930,Online
68,753,58,1,294.0,294.0,2025-06-19 19:49:43.984398,Online
69,40,123,2,442.17,884.34,2025-07-05 19:40:48.844923,Online
70,1999,118,1,160.38,160.38,2025-07-10 11:25:00.846957,Online
71,1685,199,1,269.52,269.52,2025-07-11 10:40:36.639584,Online
72,1202,118,2,160.38,320.76,2025-06-26 20:02:47.098894,Online
73,690,44,2,98.62,197.24,2025-05-09 00:43:24.495874,Store
74,963,146,3,43.96,131.88,2025-06-29 05:12:33.213332,Online
75,1894,191,2,185.79,371.58,2025-05-21 08:19:10.136948,Online
76,1939,190,2,429.03,858.06,2025-05-31 09:39:50.605239,Online
77,1075,40,2,218.07,436.14,2025-06-22 16:26:37.502154,Online
78,20,6,1,189.29,189.29,2025-07-03 01:36:44.627459,Online
79,1677,177,1,91.55,91.55,2025-07-10 09:43:32.901687,Store
80,476,49,4,141.1,564.42,2025-07-08 05:56:13.752290,Online
81,49,127,2,335.53,671.05,2025-04-04 13:49:30.262629,Online
82,1968,24,1,444.65,444.65,2025-07-09 18:57:23.584580,Store
83,1542,185,1,514.2,514.2,2025-06-29 13:49:02.943961,Store
84,413,97,3,442.83,1328.48,2025-05-25 07:13:56.850655,Online
85,464,141,2,491.31,982.61,2025-07-05 09:32:29.378757,Online
86,1475,196,1,481.48,481.48,2025-05-26 06:18:13.683865,Online
87,132,81,2,215.28,430.55,2025-06-02 13:17:31.963968,Online
88,712,194,1,220.62,220.62,2025-07-08 18:21:31.224264,Online
89,440,103,3,172.63,517.9,2025-06-21 16:07:15.865398,Online
90,1428,68,1,348.58,348.58,2025-05-24 09:49:45.732955,Store
91,542,199,5,245.02,1225.08,2025-06-06 16:32:53.805089,Online
92,481,10,1,18.66,18.66,2025-06-30 05:57:45.560629,Online
